City,Cuisines, Average Rating City-Cuisine Pair , Total Votes for a City-Cuisine Pair ,,
New Delhi,"North Indian, Mughlai, Chinese, Continental", 3.90 , 272.00 ,,
Mysore,North Indian, 3.90 , 394.00 ,,
Gurgaon,"Mediterranean, Continental", 3.40 , 22.00 ,,
New Delhi,"North Indian, Chinese, Italian, Finger Food", 3.70 , 45.00 ,,
Gurgaon,"Continental, North Indian", 3.30 , 36.00 ,,
Gurgaon,"Continental, North Indian", 3.30 , 36.00 ,,
Gurgaon,"Continental, North Indian", 3.30 , 36.00 ,,
Gurgaon,"Continental, North Indian", 3.30 , 36.00 ,,
Gurgaon,"Continental, North Indian", 3.30 , 36.00 ,,
Mumbai,"Continental, Italian", 2.70 , 27.00 ,,
Guwahati,"Cafe, American, Italian, Continental", 2.80 , 23.00 ,,
New Delhi,"Fast Food, North Indian, Chinese, Desserts", 3.10 , 6.00 ,,
ÛÁstanbul,Bar Food, 3.30 , 12.00 ,,
Auckland,Thai, 2.90 , 13.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
Gurgaon,Finger Food, 3.10 , 11.00 ,,
New Delhi,"Continental, Mexican, Fast Food, North Indian, Chinese", -   , 3.00 ,,
New Delhi,"Cafe, Fast Food", -   , 2.00 ,,
New Delhi,"Cafe, Fast Food", -   , 2.00 ,,
New Delhi,"Cafe, Fast Food", -   , 2.00 ,,
New Delhi,"Cafe, Fast Food", -   , 2.00 ,,
New Delhi,"Italian, Pizza, Bakery", -   , 1.00 ,,
Noida,"Thai, Chinese", -   , -   ,,
Hyderabad,"Continental, Asian", -   , -   ,,
Birmingham,"Cafe, British", -   , -   ,,
Gurgaon,"Fast Food, Burger", 3.70 , 276.00 ,,
New Delhi,"Cafe, Beverages", -   , -   ,,
New Delhi,"Cafe, Beverages", -   , -   ,,
New Delhi,"Chinese, North Indian, Italian", 3.20 , 31.00 ,,
Orlando,"Asian, Latin American, Vegetarian", 2.90 , 5.00 ,,
Gurgaon,"Chinese, Thai, Malaysian, Indonesian", 3.00 , 4.00 ,,
Gurgaon,"Continental, Chinese, Thai, Mughlai, North Indian", 3.20 , 44.00 ,,
Gurgaon,"Chinese, North Indian, South Indian, Street Food", 2.50 , 11.00 ,,
New Delhi,"Italian, Mexican, Lebanese, Continental", 3.20 , 11.00 ,,
Puducherry,"Cafe, Continental", 3.90 , 43.00 ,,
New Delhi,"North Indian, Mediterranean, Asian, Fast Food", 3.60 , 45.00 ,,
New Delhi,"Street Food, Chinese", 3.50 , 200.00 ,,
New Delhi,"Street Food, Chinese", 3.50 , 200.00 ,,
New Delhi,"Street Food, Chinese", 3.50 , 200.00 ,,
Gurgaon,"Healthy Food, Juices, Salad, Italian, Continental", -   , 1.00 ,,
New Delhi,"Street Food, Chinese", 3.50 , 200.00 ,,
New Delhi,"Fast Food, American, Burger", 4.00 , 219.00 ,,
Gurgaon,"Bakery, Beverages", 2.90 , 15.00 ,,
New Delhi,"Chinese, Italian, Continental", 2.80 , 5.00 ,,
New Delhi,"Mithai, South Indian", 2.90 , 6.00 ,,
New Delhi,"Continental, Mexican, Burger, American, Pizza, Tex-Mex", 2.70 , 10.00 ,,
Ghaziabad,"Fast Food, Cafe, Desserts, Bakery", 2.80 , 14.00 ,,
New Delhi,"Ice Cream, Desserts, North Indian, Street Food", 2.90 , 13.00 ,,
Noida,"Mithai, North Indian, Street Food", -   , -   ,,
Gurgaon,"Mughlai, North Indian, Chinese", 2.90 , 6.00 ,,
Noida,"Bakery, Desserts, Fast Food", 3.30 , 153.00 ,,
Noida,"Bakery, Desserts, Fast Food", 3.30 , 153.00 ,,
Noida,"Bakery, Desserts, Fast Food", 3.30 , 153.00 ,,
Noida,"Bakery, Desserts, Fast Food", 3.30 , 153.00 ,,
Faridabad,"Cafe, Chinese, Fast Food", 2.90 , 7.00 ,,
Sioux City,"American, Fast Food", 3.10 , 21.00 ,,
Gurgaon,"Cafe, Fast Food", 3.50 , 66.00 ,,
Gurgaon,"Cafe, Fast Food", 3.50 , 66.00 ,,
Mysore,"North Indian, Chinese", 3.60 , 369.00 ,,
Athens,"American, Burger, Sandwich", 3.70 , 63.00 ,,
Gurgaon,"South Indian, North Indian, Chinese, Fast Food", -   , 2.00 ,,
Coimbatore,"North Indian, Chinese, Italian, Mexican", 2.40 , 83.00 ,,
Indore,"North Indian, Chinese, Continental, Mediterranean, Asian", 3.20 , 36.00 ,,
Aurangabad,Pizza, 3.90 , 360.00 ,,
New Delhi,"Fast Food, South Indian", 4.70 , 126.00 ,,
Dubai,"Cafe, Burger", 4.10 , 290.00 ,,
New Delhi,"South Indian, Street Food, Mithai", 4.20 , 110.00 ,,
Lakes Entrance,"Breakfast, Coffee and Tea", 4.10 , 304.00 ,,
Ahmedabad,"Cafe, Beverages, Desserts, Pizza", 4.40 , 129.00 ,,
New Delhi,"Fast Food, American, Italian", 4.40 , 222.00 ,,
New Delhi,"Fast Food, American, Italian", 4.40 , 222.00 ,,
Gurgaon,"Steak, American", 4.00 , 28.00 ,,
Noida,"North Indian, Chinese, Mughlai, Fast Food", 3.60 , 142.00 ,,
Noida,"North Indian, Chinese, Mughlai, Fast Food", 3.60 , 142.00 ,,
Gurgaon,"Street Food, Chinese, North Indian", 4.20 , 99.00 ,,
Beechworth,"Pizza, Bar Food", 4.10 , 25.00 ,,
Wellington City,Italian, 4.10 , 179.00 ,,
Gurgaon,"North Indian, Chinese, South Indian, Seafood, Chettinad", 4.30 , 369.00 ,,
Cedar Rapids/Iowa City,"Chinese, Sushi, Thai", 4.00 , 256.00 ,,
New Delhi,"Biryani, Kerala", 4.30 , 233.00 ,,
Puducherry,"French, Continental, North Indian", 4.30 , 96.00 ,,
Noida,"Desserts, Beverages", 4.30 ," 3,374.00 ",,
Noida,"Desserts, Beverages", 4.30 ," 3,374.00 ",,
Pensacola,"Seafood, Sushi", 4.30 , 860.00 ,,
Gurgaon,Juices, 4.80 ," 1,023.00 ",,
New Delhi,"Italian, Continental, Fast Food, Chinese", 4.20 , 79.00 ,,
Gurgaon,Mughlai, 4.20 , 221.00 ,,
Gurgaon,Mughlai, 4.20 , 221.00 ,,
Gurgaon,Mughlai, 4.20 , 221.00 ,,
Gurgaon,Mughlai, 4.20 , 221.00 ,,
Gurgaon,Mughlai, 4.20 , 221.00 ,,
Gurgaon,Mughlai, 4.20 , 221.00 ,,
Jakarta,"Sushi, Japanese", 4.10 , 571.00 ,,
New Delhi,Assamese, 3.70 , 238.00 ,,
Nagpur,"North Indian, Italian, Continental", 4.10 , 100.00 ,,
Bangalore,"North Indian, Chinese, Italian, Street Food, Desserts", 4.10 , 152.00 ,,
Auckland,Malaysian, 4.10 , 37.00 ,,
Bangalore,Continental, 3.90 , 430.00 ,,
Wellington City,"French, Kiwi", 4.20 , 304.00 ,,
Gurgaon,"Finger Food, North Indian, Chinese", 4.00 , 404.00 ,,
Faridabad,Street Food, 3.80 , 214.00 ,,
New Delhi,"European, Continental, Pizza", 4.00 , 496.00 ,,
Coimbatore,Fast Food, 3.80 , 209.00 ,,
Gurgaon,"Chinese, Thai, Asian", 4.30 , 334.00 ,,
Gurgaon,"Chinese, Thai, Asian", 4.30 , 334.00 ,,
Pensacola,"Burger, Bar Food, Steak", 3.90 , 502.00 ,,
Auckland,"Asian Fusion, Pub Food, Fusion, Asian, Filipino, Malaysian, Thai", 3.80 , 69.00 ,,
New Delhi,"Bakery, Desserts, Chinese, Fast Food", 3.90 , 69.00 ,,
New Delhi,"Bakery, Desserts, Chinese, Fast Food", 3.90 , 69.00 ,,
Dubai,"Indian, North Indian, Street Food", 4.30 , 171.00 ,,
Auckland,American, 4.70 ," 1,469.00 ",,
New Delhi,"Fast Food, South Indian, Mithai", 3.90 , 676.00 ,,
New Delhi,"Chinese, Thai, Asian", 4.00 , 582.00 ,,
New Delhi,"Chinese, Thai, Asian", 4.00 , 582.00 ,,
Gurgaon,"Burger, American, Fast Food", 4.40 , 843.00 ,,
Gurgaon,"Burger, American, Fast Food", 4.40 , 843.00 ,,
Gurgaon,"Italian, Mexican, Cafe", 4.30 ," 1,478.00 ",,
Manchester,"Pakistani, Indian, Afghani, Curry", 3.90 , 67.00 ,,
Gurgaon,South Indian, 4.20 , 633.00 ,,
Gurgaon,South Indian, 4.20 , 633.00 ,,
Gurgaon,South Indian, 4.20 , 633.00 ,,
Gurgaon,South Indian, 4.20 , 633.00 ,,
Gurgaon,South Indian, 4.20 , 633.00 ,,
Gurgaon,South Indian, 4.20 , 633.00 ,,
Gurgaon,"Fast Food, Pizza", 4.10 , 148.00 ,,
Gurgaon,"Fast Food, Pizza", 4.10 , 148.00 ,,
Chandigarh,"North Indian, Chinese, Continental, Pizza", 4.30 ," 1,121.00 ",,
Brasí_lia,Pizza, 2.60 , 46.00 ,,
Brasí_lia,Pizza, 2.60 , 46.00 ,,
Gurgaon,"North Indian, South Indian, Fast Food", 3.70 , 112.00 ,,
Sí£o Paulo,Brazilian, 3.30 , 148.00 ,,
Sí£o Paulo,Brazilian, 3.30 , 148.00 ,,
Sí£o Paulo,Brazilian, 3.30 , 148.00 ,,
Des Moines,"Latin American, Mexican", 4.00 , 24.00 ,,
New Delhi,"Healthy Food, Fast Food", 4.00 , 54.00 ,,
Surat,"Chinese, Thai, Asian", 3.50 , 43.00 ,,
New Delhi,"Fast Food, Healthy Food", 3.60 , 34.00 ,,
Varanasi,"Pizza, Chinese", 3.90 , 97.00 ,,
Armidale,"Bar Food, Steak", 4.10 , 158.00 ,,
Brasí_lia,"Fast Food, French", 3.90 , 127.00 ,,
New Delhi,"Finger Food, North Indian, Continental, Italian", 3.90 , 86.00 ,,
Edinburgh,Italian, 3.80 , 97.00 ,,
Gurgaon,"South Indian, Desserts, Beverages", 4.30 , 155.00 ,,
New Delhi,Tea, 3.40 , 49.00 ,,
Faridabad,"Fast Food, Chinese", 3.60 , 106.00 ,,
Faridabad,"Fast Food, Chinese", 3.60 , 106.00 ,,
Faridabad,"Fast Food, Chinese", 3.60 , 106.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
New Delhi,"Raw Meats, Fast Food", 3.70 , 160.00 ,,
Pune,"Continental, North Indian, Italian", 4.00 , 160.00 ,,
Edinburgh,American, 4.20 , 482.00 ,,
Manchester,French, 4.30 , 722.00 ,,
Kochi,Kerala, 4.20 , 146.00 ,,
Kochi,Kerala, 4.20 , 146.00 ,,
New Delhi,"Asian, Japanese, Chinese, Thai", 4.30 , 658.00 ,,
Valdosta,"Burger, Seafood, Steak", 4.30 , 312.00 ,,
Chennai,"North Indian, Mediterranean, Asian, Arabian", 3.60 , 361.00 ,,
Gurgaon,"European, Italian", 4.60 , 945.00 ,,
Lucknow,"North Indian, Continental, South Indian, Chinese, Thai, Asian", 4.20 ," 1,103.00 ",,
Vizag,"Cafe, North Indian, Chinese", 4.80 ," 1,424.00 ",,
Ranchi,"North Indian, South Indian, Chinese", 3.90 , 326.00 ,,
Ranchi,"North Indian, South Indian, Chinese", 3.90 , 326.00 ,,
Ranchi,"North Indian, South Indian, Chinese", 3.90 , 326.00 ,,
New Delhi,"Raw Meats, North Indian", 4.40 ," 1,484.00 ",,
New Delhi,"Raw Meats, North Indian", 4.40 ," 1,484.00 ",,
New Delhi,South American, 4.60 ," 1,219.00 ",,
Sioux City,"Asian, Thai, Vegetarian", 3.90 ," 1,064.00 ",,
Ankara,"World Cuisine, Mexican, Italian", 3.50 ," 4,464.00 ",,
Orlando,Italian, 4.20 ," 5,288.00 ",,
Dubuque,"Breakfast, Pizza", 4.30 ," 7,574.00 ",,
Ahmedabad,"North Indian, Chinese, Continental", 4.40 ," 2,224.00 ",,
New Delhi,"Cafe, Desserts", 3.60 ," 1,040.00 ",,
Colombo,"Italian, Cafe, Desserts", 4.10 ," 1,616.00 ",,
Noida,"Chinese, North Indian, South Indian, Fast Food", 4.00 ," 1,126.00 ",,
Faridabad,"Pizza, Fast Food", 4.90 ," 1,057.00 ",,
Balingup,Modern Australian, 3.50 , 147.00 ,,
Orlando,"Brazilian, Steak", 3.90 , 217.00 ,,
Gurgaon,"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese", 3.70 , 514.00 ,,
Noida,"Raw Meats, North Indian, Fast Food", 3.90 , 268.00 ,,
Noida,"Raw Meats, North Indian, Fast Food", 3.90 , 268.00 ,,
New Delhi,"North Indian, Maharashtrian", 4.20 , 691.00 ,,
Savannah,"Desserts, Sandwich, Ice Cream", 4.10 , 165.00 ,,
Gurgaon,"Pizza, Desserts", 4.10 , 80.00 ,,
Edinburgh,Cafe, 4.30 , 887.00 ,,
Rio de Janeiro,"Bakery, Sandwich, Brazilian", 4.00 , 79.00 ,,
Noida,Desserts, 4.40 , 818.00 ,,
Noida,Desserts, 4.40 , 818.00 ,,
Noida,Desserts, 4.40 , 818.00 ,,
Noida,Desserts, 4.40 , 818.00 ,,
Noida,Desserts, 4.40 , 818.00 ,,
Noida,Desserts, 4.40 , 818.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
New Delhi,Pizza, 3.60 , 93.00 ,,
Gurgaon,"Continental, North Indian, Chinese, Italian", 3.70 , 355.00 ,,
Pretoria,"Burger, American, Beverages", 3.50 , 280.00 ,,
Abu Dhabi,Chinese, 3.70 , 104.00 ,,
ÛÁstanbul,"World Cuisine, Patisserie, Cafe", 3.80 , 290.00 ,,
New Delhi,"Naga, Tibetan", 3.60 , 275.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
New Delhi,"Desserts, Ice Cream", 4.20 , 281.00 ,,
Mumbai,"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food", 3.90 , 156.00 ,,
Dehradun,"Burger, Desserts", 4.30 , 99.00 ,,
Augusta,"American, Caribbean, Seafood", 4.00 ," 5,145.00 ",,
New Delhi,"Chinese, Italian, Fast Food", 4.00 , 156.00 ,,
New Delhi,"Chinese, Italian, Fast Food", 4.00 , 156.00 ,,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Gurgaon,"Mithai, Street Food", 4.70 ," 2,083.00 ",,
Lincoln,Thai, 4.00 , 536.00 ,,
Coimbatore,"Bakery, Desserts", 3.40 , 139.00 ,,
Noida,"Chinese, Mughlai, North Indian", 3.70 , 172.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
New Delhi,"North Indian, Chinese, Fast Food", 3.90 , 264.00 ,,
Tampa Bay,"American, Desserts, Steak", 3.30 , 15.00 ,,
Sharjah,South Indian, 3.40 , 24.00 ,,
Noida,"North Indian, South Indian, Chinese", 3.50 , 80.00 ,,
Noida,"North Indian, South Indian, Chinese", 3.50 , 80.00 ,,
Noida,"North Indian, South Indian, Chinese", 3.50 , 80.00 ,,
Noida,"North Indian, South Indian, Chinese", 3.50 , 80.00 ,,
Noida,"North Indian, South Indian, Chinese", 3.50 , 80.00 ,,
Hyderabad,"Desserts, Cafe, Mexican", 3.30 , 33.00 ,,
Colombo,"Cafe, Fast Food, Beverages", 3.50 , 77.00 ,,
New Delhi,"Bakery, Fast Food, Desserts", 3.90 , 218.00 ,,
New Delhi,"North Indian, European, Chinese", 3.40 , 71.00 ,,
Noida,"Mexican, Italian", -   , 2.00 ,,
Ghaziabad,"North Indian, Chinese, Continental", 3.20 , 46.00 ,,
New Delhi,"Tibetan, Chinese, North Indian", 3.40 , 45.00 ,,
New Delhi,"Tibetan, Chinese, North Indian", 3.40 , 45.00 ,,
Gurgaon,"Biryani, Pizza, Fast Food, Healthy Food", 3.40 , 238.00 ,,
Rio de Janeiro,"Seafood, Bar Food, Brazilian", 3.10 , 8.00 ,,
Vineland Station,"Italian, Mediterranean, Pizza", 2.70 , 64.00 ,,
Orlando,"Asian, Thai", 2.60 , 113.00 ,,
Gurgaon,"Tibetan, Nepalese", 3.70 , 66.00 ,,
New Delhi,"Italian, Continental", 3.50 , 141.00 ,,
New Delhi,"Italian, Continental", 3.50 , 141.00 ,,
New Delhi,"Italian, Continental", 3.50 , 141.00 ,,
New Delhi,"Italian, Continental", 3.50 , 141.00 ,,
Gurgaon,"Continental, Finger Food, Chinese, North Indian", 4.20 , 665.00 ,,
Faridabad,"Mithai, Street Food, Chinese", 3.20 , 31.00 ,,
New Delhi,"Italian, Chinese, North Indian", 3.70 , 288.00 ,,
New Delhi,"Cafe, Desserts, Healthy Food, Juices", 3.20 , 33.00 ,,
Gurgaon,"Greek, Mediterranean", 3.20 , 26.00 ,,
New Delhi,"Italian, Pizza", -   , 2.00 ,,
New Delhi,"Italian, Pizza", -   , 2.00 ,,
New Delhi,"North Indian, Continental, European, Chinese, Thai", 3.30 , 13.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Faridabad,Bakery, 3.20 , 64.00 ,,
Savannah,"American, Breakfast", 3.20 , 10.00 ,,
Savannah,"American, Breakfast", 3.20 , 10.00 ,,
Savannah,Southern, 3.10 , 7.00 ,,
Guwahati,"Continental, European", 2.90 , 42.00 ,,
New Delhi,"Continental, Fast Food, North Indian, Asian", 3.20 , 21.00 ,,
Noida,"North Indian, Healthy Food, Rajasthani", 3.30 , 16.00 ,,
Kolkata,"North Indian, Chinese, Street Food", 2.50 , 37.00 ,,
Noida,"Fast Food, Street Food", 2.90 , 4.00 ,,
Noida,"Fast Food, Street Food", 2.90 , 4.00 ,,
Sharjah,"Cafe, Bakery, Desserts", 3.40 , 22.00 ,,
Ludhiana,"Continental, Chinese, Italian, Bakery", 3.90 , 97.00 ,,
New Delhi,"Chinese, Japanese, Italian, Seafood", 3.90 , 452.00 ,,
Noida,"Mediterranean, Continental, North Indian, Italian", 3.60 , 14.00 ,,
Gurgaon,"North Indian, Mughlai, South Indian, Chinese", 3.60 , 82.00 ,,
New Delhi,Kerala, -   , 2.00 ,,
New Delhi,Kerala, -   , 2.00 ,,
Noida,"North Indian, South Indian, Italian, Continental, Mediterranean, Lebanese, Desserts", -   , -   ,,
Manchester,"Indian, Curry", -   , 2.00 ,,
New Delhi,"North Indian, Continental, Asian", -   , 1.00 ,,
New Delhi,"North Indian, Continental, Asian", -   , 1.00 ,,
New Delhi,"Cafe, Italian, Continental, Chinese", 2.50 , 100.00 ,,
Boise,"Italian, Seafood, Vegetarian", 3.10 , 230.00 ,,
Bangalore,"Continental, American, Italian, North Indian, Chinese, Cafe", 2.60 , 176.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,"North Indian, Chinese, Continental, Italian, Mexican, Lebanese", -   , -   ,,
Gurgaon,"North Indian, Asian, Continental", -   , 1.00 ,,
Pasig City,"Filipino, Mexican", -   , 1.00 ,,
Noida,Ice Cream, -   , -   ,,
Noida,Ice Cream, -   , -   ,,
Noida,Ice Cream, -   , -   ,,
Noida,Ice Cream, -   , -   ,,
Noida,Ice Cream, -   , -   ,,
Noida,Ice Cream, -   , -   ,,
Noida,"Ice Cream, Beverages", -   , -   ,,
Macon,"Chinese, Thai", -   , 2.00 ,,
Surat,"Chinese, North Indian, Italian, Mexican", -   , -   ,,
Noida,"North Indian, Italian, Continental", -   , -   ,,
Amritsar,"North Indian, South Indian, Chinese, Fast Food", -   , -   ,,
Tampa Bay,"Latin American, Mexican, Southwestern", -   , -   ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
New Delhi,South Indian, 3.50 , 232.00 ,,
